report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,reported_dateTime,media,explanation
https://nuforc.org/sighting/?id=187401,2025-01-29 06:10:00,Parachute,CO,USA,Orb,"Changing color Orb about 1,000ft high.",02/01/2025,True,
https://nuforc.org/sighting/?id=187312,2025-01-29 05:36:00,Spokane,WA,USA,Star,Quick scan of chilly early morning skies and a bogey,01/29/2025,False,
https://nuforc.org/sighting/?id=187344,2025-01-29 02:00:00,Tremont,ME,USA,Orb,Watched Orbs fly across the tree line,01/30/2025,True,
https://nuforc.org/sighting/?id=187303,2025-01-28 22:17:00,Summerville,SC,USA,Triangle,"Moving slow and very low, flying almost sideways and very large. Didn’t make a normal plane or helicopter sound.",01/28/2025,False,
https://nuforc.org/sighting/?id=187304,2025-01-28 21:02:00,Waukesha,WI,USA,Other,Thought it was a shooting star until it got closer and saw more objects approaching with it then it faded,01/28/2025,False,Meteor
https://nuforc.org/sighting/?id=187448,2025-01-28 21:00:00,Pageland,SC,USA,Chevron,Looked up and saw V moving overhead and behind some trees.  200-300 ft above the ground and about 40-50 ft wide.,02/03/2025,False,
https://nuforc.org/sighting/?id=187305,2025-01-28 21:00:00,Thynedale,VA,USA,Light,strobing light exiting atmosphere or disappearing,01/28/2025,False,
https://nuforc.org/sighting/?id=187424,2025-01-28 20:47:00,Urbana,OH,USA,Light,"On Jan 28th, 2025, I witnessed a silent, low-flying UFO with complex lights & turns that didn’t match C-17 flight data.",02/02/2025,True,Aircraft
https://nuforc.org/sighting/?id=187302,2025-01-28 20:35:00,Red Lion,PA,USA,Orb,Very bright star like light in sky followed by descending shooting flash immediately followed by smaller ascending lights,01/28/2025,False,
https://nuforc.org/sighting/?id=187306,2025-01-28 20:33:00,Sabina,OH,USA,Unknown,"A green-lit object appeared above me, phased in/out, turned red underneath, then vanished at high speed in a blink.",01/28/2025,False,Drone?
https://nuforc.org/sighting/?id=187301,2025-01-28 19:32:00,Formby,England,United Kingdom,Orb,Pulsating green light moved swiftly in straight lines across the sky before disappearing,01/28/2025,True,Drone?
https://nuforc.org/sighting/?id=187633,2025-01-28 19:30:00,Circle Oaks,CA,USA,Other,Faster than a propeller slower than a jet no sound,02/10/2025,True,
https://nuforc.org/sighting/?id=187421,2025-01-28 19:20:00,Coloma,WI,USA,Orb,"Stationary light, dimmed as if moving away from sight, the reappeared brighter and lower to the ground/horizon. Lit surrounding clouds",02/02/2025,True,
https://nuforc.org/sighting/?id=187294,2025-01-28 19:00:00,Montgomery,OH,USA,Sphere,"A glittering red, green and white ball of light crossed the entire sky, from northeast to southwest, in three seconds.   No sound.",01/29/2025,False,
https://nuforc.org/sighting/?id=187271,2025-01-28 18:50:00,Saipan,Saipan,Northern Mariana Islands,Triangle,"After seeing the ISS, we noticed, going the opposite was triangular craft, with 3 red lights at each point, one of what was blinking",01/28/2025,False,
https://nuforc.org/sighting/?id=187829,2025-01-28 18:48:00,Loganholme,Queensland,Australia,Light,Object with bright light way up in the night sky moving at extremely high speed,02/19/2025,False,
https://nuforc.org/sighting/?id=187293,2025-01-28 18:24:00,Macclesfield,England,United Kingdom,Circle,"I saw two circular spinning silver discs above Ryles Park Road, Macclesfield",01/29/2025,False,
https://nuforc.org/sighting/?id=187309,2025-01-28 17:46:00,Tumwater,WA,USA,Triangle,"I saw a black Triangle with (1) green light on one corner and (1) red light opposite, it was accompanied with an Orb",01/29/2025,False,
https://nuforc.org/sighting/?id=187308,2025-01-28 17:45:00,Camp Hill,PA,USA,Orb,A blue/white object moving west that you might think was an airplane.,01/28/2025,False,Aircraft?
https://nuforc.org/sighting/?id=187318,2025-01-28 17:40:00,Huntsville,AL,USA,Other,One aircraft the size of a large truck had headlights,01/29/2025,False,Aircraft?
https://nuforc.org/sighting/?id=187276,2025-01-28 10:40:00,Springfield,OH,USA,Cross,"At 10:40 AM EST, I saw a metallic, X-shaped object in the sky. No planes were on radar, confirming it wasn’t a conventional aircraft.",01/28/2025,True,Drone?
https://nuforc.org/sighting/?id=187282,2025-01-28 02:00:00,Raleigh,NC,USA,Triangle,"Triangle shaped lights moving across the sky, then it ‘parked’ and stayed in one spot for a long time.",01/28/2025,True,
https://nuforc.org/sighting/?id=187341,2025-01-28 00:29:00,Bell Acres,PA,USA,Unknown,Only white lights. Rotated and disappeared on a very clear night. Only lasted about 5 seconds. No sound.,01/30/2025,False,
https://nuforc.org/sighting/?id=187555,2025-01-27 21:57:00,Ossipee,NH,USA,Circle,There was an object hovering and moving very slowly over Wolfeboro.,02/06/2025,True,
https://nuforc.org/sighting/?id=187236,2025-01-27 21:36:00,Auckland,Auckland,New Zealand,Unknown,"Shining green lights, flew overhead, and disappeared. There were no close planes on the flight radar, some appliances distorted.",01/27/2025,False,
